features,model_name,measure,value
cc,lightgbm,average_precision_score_0.01,0.1
cc,lightgbm,average_precision_score_0.05,0.1
cc,lightgbm,average_precision_score_0.1,0.105
cc,xgboost,roc_auc_score,0.571
cc,xgboost,average_precision_score,0.124
cc,xgboost,average_precision_score_0.01,0.1
cc,xgboost,average_precision_score_0.05,0.1
cc,xgboost,average_precision_score_0.1,0.1
ec,log_reg,roc_auc_score,0.512
ec,log_reg,average_precision_score,0.105
ec,log_reg,average_precision_score_0.01,0.1
ec,log_reg,average_precision_score_0.05,0.1
ec,log_reg,average_precision_score_0.1,0.1
ec,random_forest,roc_auc_score,0.529
ec,random_forest,average_precision_score,0.112
ec,random_forest,average_precision_score_0.01,0.1
ec,random_forest,average_precision_score_0.05,0.1
ec,random_forest,average_precision_score_0.1,0.106
ec,lightgbm,roc_auc_score,0.493
ec,lightgbm,average_precision_score,0.103
ec,lightgbm,average_precision_score_0.01,0.1
ec,lightgbm,average_precision_score_0.05,0.1
ec,lightgbm,average_precision_score_0.1,0.1
ec,xgboost,roc_auc_score,0.543
ec,xgboost,average_precision_score,0.117
ec,xgboost,average_precision_score_0.01,0.1
ec,xgboost,average_precision_score_0.05,0.1
ec,xgboost,average_precision_score_0.1,0.1
eccen,log_reg,roc_auc_score,0.558
eccen,log_reg,average_precision_score,0.116
eccen,log_reg,average_precision_score_0.01,0.1
eccen,log_reg,average_precision_score_0.05,0.1
eccen,log_reg,average_precision_score_0.1,0.1
eccen,random_forest,roc_auc_score,0.558
eccen,random_forest,average_precision_score,0.116
eccen,random_forest,average_precision_score_0.01,0.1
eccen,random_forest,average_precision_score_0.05,0.1
eccen,random_forest,average_precision_score_0.1,0.116
eccen,lightgbm,roc_auc_score,0.559
eccen,lightgbm,average_precision_score,0.116
eccen,lightgbm,average_precision_score_0.01,0.1
eccen,lightgbm,average_precision_score_0.05,0.1
eccen,lightgbm,average_precision_score_0.1,0.116
eccen,xgboost,roc_auc_score,0.559
eccen,xgboost,average_precision_score,0.116
eccen,xgboost,average_precision_score_0.01,0.1
eccen,xgboost,average_precision_score_0.05,0.1
eccen,xgboost,average_precision_score_0.1,0.1
core,log_reg,roc_auc_score,0.489
core,log_reg,average_precision_score,0.1
core,log_reg,average_precision_score_0.01,0.1
core,log_reg,average_precision_score_0.05,0.1
core,log_reg,average_precision_score_0.1,0.1
core,random_forest,roc_auc_score,0.51
core,random_forest,average_precision_score,0.103
core,random_forest,average_precision_score_0.01,0.1
core,random_forest,average_precision_score_0.05,0.1
core,random_forest,average_precision_score_0.1,0.101
core,lightgbm,roc_auc_score,0.504
core,lightgbm,average_precision_score,0.1
core,lightgbm,average_precision_score_0.01,0.1
core,lightgbm,average_precision_score_0.05,0.1
core,lightgbm,average_precision_score_0.1,0.1
core,xgboost,roc_auc_score,0.507
core,xgboost,average_precision_score,0.101
core,xgboost,average_precision_score_0.01,0.1
core,xgboost,average_precision_score_0.05,0.1
core,xgboost,average_precision_score_0.1,0.1
participation_in_mod_deg,log_reg,roc_auc_score,0.994
participation_in_mod_deg,log_reg,average_precision_score,0.975
participation_in_mod_deg,log_reg,average_precision_score_0.01,0.145
participation_in_mod_deg,log_reg,average_precision_score_0.05,0.225
participation_in_mod_deg,log_reg,average_precision_score_0.1,0.27
participation_in_mod_deg,random_forest,roc_auc_score,0.996
participation_in_mod_deg,random_forest,average_precision_score,0.987
participation_in_mod_deg,random_forest,average_precision_score_0.01,0.485
participation_in_mod_deg,random_forest,average_precision_score_0.05,0.788
participation_in_mod_deg,random_forest,average_precision_score_0.1,0.891
participation_in_mod_deg,lightgbm,roc_auc_score,0.994
participation_in_mod_deg,lightgbm,average_precision_score,0.985
participation_in_mod_deg,lightgbm,average_precision_score_0.01,0.1
participation_in_mod_deg,lightgbm,average_precision_score_0.05,0.1
participation_in_mod_deg,lightgbm,average_precision_score_0.1,0.882
participation_in_mod_deg,xgboost,roc_auc_score,0.997
participation_in_mod_deg,xgboost,average_precision_score,0.98
participation_in_mod_deg,xgboost,average_precision_score_0.01,0.425
participation_in_mod_deg,xgboost,average_precision_score_0.05,0.796
participation_in_mod_deg,xgboost,average_precision_score_0.1,0.905
