features,model_name,measure,value
participation_in_mod_deg,random_forest,average_precision_score_0.05,0.253
participation_in_mod_deg,random_forest,average_precision_score_0.1,0.289
participation_in_mod_deg,lightgbm,roc_auc_score,0.917
participation_in_mod_deg,lightgbm,average_precision_score,0.778
participation_in_mod_deg,lightgbm,average_precision_score_0.01,0.209
participation_in_mod_deg,lightgbm,average_precision_score_0.05,0.294
participation_in_mod_deg,lightgbm,average_precision_score_0.1,0.429
participation_in_mod_deg,xgboost,roc_auc_score,0.921
participation_in_mod_deg,xgboost,average_precision_score,0.802
participation_in_mod_deg,xgboost,average_precision_score_0.01,0.211
participation_in_mod_deg,xgboost,average_precision_score_0.05,0.331
participation_in_mod_deg,xgboost,average_precision_score_0.1,0.484
node2vec,log_reg,roc_auc_score,0.969
node2vec,log_reg,average_precision_score,0.896
node2vec,log_reg,average_precision_score_0.01,0.25
node2vec,log_reg,average_precision_score_0.05,0.371
node2vec,log_reg,average_precision_score_0.1,0.477
node2vec,random_forest,roc_auc_score,0.972
node2vec,random_forest,average_precision_score,0.902
node2vec,random_forest,average_precision_score_0.01,0.256
node2vec,random_forest,average_precision_score_0.05,0.501
node2vec,random_forest,average_precision_score_0.1,0.614
node2vec,lightgbm,roc_auc_score,0.968
node2vec,lightgbm,average_precision_score,0.889
node2vec,lightgbm,average_precision_score_0.01,0.206
node2vec,lightgbm,average_precision_score_0.05,0.604
node2vec,lightgbm,average_precision_score_0.1,0.704
node2vec,xgboost,roc_auc_score,0.967
node2vec,xgboost,average_precision_score,0.899
node2vec,xgboost,average_precision_score_0.01,0.458
node2vec,xgboost,average_precision_score_0.05,0.689
node2vec,xgboost,average_precision_score_0.1,0.733
struc2vec,log_reg,roc_auc_score,0.554
struc2vec,log_reg,average_precision_score,0.24
struc2vec,log_reg,average_precision_score_0.01,0.206
struc2vec,log_reg,average_precision_score_0.05,0.206
struc2vec,log_reg,average_precision_score_0.1,0.206
struc2vec,random_forest,roc_auc_score,0.645
struc2vec,random_forest,average_precision_score,0.36
struc2vec,random_forest,average_precision_score_0.01,0.206
struc2vec,random_forest,average_precision_score_0.05,0.206
struc2vec,random_forest,average_precision_score_0.1,0.209
struc2vec,lightgbm,roc_auc_score,0.621
struc2vec,lightgbm,average_precision_score,0.319
struc2vec,lightgbm,average_precision_score_0.01,0.206
struc2vec,lightgbm,average_precision_score_0.05,0.206
struc2vec,lightgbm,average_precision_score_0.1,0.215
struc2vec,xgboost,roc_auc_score,0.591
struc2vec,xgboost,average_precision_score,0.286
struc2vec,xgboost,average_precision_score_0.01,0.206
struc2vec,xgboost,average_precision_score_0.05,0.206
struc2vec,xgboost,average_precision_score_0.1,0.206
