features,model_name,measure,value
eccen,xgboost,average_precision_score,0.093
eccen,xgboost,average_precision_score_0.01,0.086
eccen,xgboost,average_precision_score_0.05,0.086
eccen,xgboost,average_precision_score_0.1,0.086
core,log_reg,roc_auc_score,0.538
core,log_reg,average_precision_score,0.119
core,log_reg,average_precision_score_0.01,0.086
core,log_reg,average_precision_score_0.05,0.086
core,log_reg,average_precision_score_0.1,0.086
core,random_forest,roc_auc_score,0.641
core,random_forest,average_precision_score,0.159
core,random_forest,average_precision_score_0.01,0.087
core,random_forest,average_precision_score_0.05,0.091
core,random_forest,average_precision_score_0.1,0.124
core,lightgbm,roc_auc_score,0.646
core,lightgbm,average_precision_score,0.159
core,lightgbm,average_precision_score_0.01,0.086
core,lightgbm,average_precision_score_0.05,0.092
core,lightgbm,average_precision_score_0.1,0.12
core,xgboost,roc_auc_score,0.645
core,xgboost,average_precision_score,0.157
core,xgboost,average_precision_score_0.01,0.086
core,xgboost,average_precision_score_0.05,0.088
core,xgboost,average_precision_score_0.1,0.124
participation_in_mod_deg,log_reg,roc_auc_score,0.566
participation_in_mod_deg,log_reg,average_precision_score,0.1
participation_in_mod_deg,log_reg,average_precision_score_0.01,0.086
participation_in_mod_deg,log_reg,average_precision_score_0.05,0.086
participation_in_mod_deg,log_reg,average_precision_score_0.1,0.086
participation_in_mod_deg,random_forest,roc_auc_score,0.658
participation_in_mod_deg,random_forest,average_precision_score,0.199
participation_in_mod_deg,random_forest,average_precision_score_0.01,0.088
participation_in_mod_deg,random_forest,average_precision_score_0.05,0.1
participation_in_mod_deg,random_forest,average_precision_score_0.1,0.114
participation_in_mod_deg,lightgbm,roc_auc_score,0.649
participation_in_mod_deg,lightgbm,average_precision_score,0.184
participation_in_mod_deg,lightgbm,average_precision_score_0.01,0.086
participation_in_mod_deg,lightgbm,average_precision_score_0.05,0.098
participation_in_mod_deg,lightgbm,average_precision_score_0.1,0.111
participation_in_mod_deg,xgboost,roc_auc_score,0.649
participation_in_mod_deg,xgboost,average_precision_score,0.201
participation_in_mod_deg,xgboost,average_precision_score_0.01,0.087
participation_in_mod_deg,xgboost,average_precision_score_0.05,0.096
participation_in_mod_deg,xgboost,average_precision_score_0.1,0.112
node2vec,log_reg,roc_auc_score,0.626
node2vec,log_reg,average_precision_score,0.119
node2vec,log_reg,average_precision_score_0.01,0.086
node2vec,log_reg,average_precision_score_0.05,0.086
node2vec,log_reg,average_precision_score_0.1,0.086
node2vec,random_forest,roc_auc_score,0.656
node2vec,random_forest,average_precision_score,0.187
node2vec,random_forest,average_precision_score_0.01,0.086
node2vec,random_forest,average_precision_score_0.05,0.094
node2vec,random_forest,average_precision_score_0.1,0.124
node2vec,lightgbm,roc_auc_score,0.638
node2vec,lightgbm,average_precision_score,0.19
node2vec,lightgbm,average_precision_score_0.01,0.086
node2vec,lightgbm,average_precision_score_0.05,0.096
node2vec,lightgbm,average_precision_score_0.1,0.115
node2vec,xgboost,roc_auc_score,0.609
node2vec,xgboost,average_precision_score,0.163
node2vec,xgboost,average_precision_score_0.01,0.086
node2vec,xgboost,average_precision_score_0.05,0.086
node2vec,xgboost,average_precision_score_0.1,0.086
struc2vec,log_reg,roc_auc_score,0.625
struc2vec,log_reg,average_precision_score,0.128
struc2vec,log_reg,average_precision_score_0.01,0.086
struc2vec,log_reg,average_precision_score_0.05,0.086
struc2vec,log_reg,average_precision_score_0.1,0.086
struc2vec,random_forest,roc_auc_score,0.65
struc2vec,random_forest,average_precision_score,0.172
struc2vec,random_forest,average_precision_score_0.01,0.086
struc2vec,random_forest,average_precision_score_0.05,0.093
struc2vec,random_forest,average_precision_score_0.1,0.11
struc2vec,lightgbm,roc_auc_score,0.631
struc2vec,lightgbm,average_precision_score,0.166
struc2vec,lightgbm,average_precision_score_0.01,0.086
struc2vec,lightgbm,average_precision_score_0.05,0.087
struc2vec,lightgbm,average_precision_score_0.1,0.108
struc2vec,xgboost,roc_auc_score,0.631
struc2vec,xgboost,average_precision_score,0.166
struc2vec,xgboost,average_precision_score_0.01,0.086
struc2vec,xgboost,average_precision_score_0.05,0.096
struc2vec,xgboost,average_precision_score_0.1,0.105
